Classificação,N_titulos,Soma_total,Media,Desvio_padrao,Min,Max,Q1,Q3,CV_%
001.42,10,173,17.3,17.5312419538504,2,58,8.0,16.25,101.34
004.2,3,24,8.0,7.0,1,15,4.5,11.5,87.5
004.22,1,21,21.0,,21,21,21.0,21.0,
004.36,1,35,35.0,,35,35,35.0,35.0,
004.6,7,397,56.714285714285715,72.64230696986958,1,191,6.5,90.5,128.08
004.62,3,8,2.6666666666666665,0.5773502691896258,2,3,2.5,3.0,21.65
004.66,1,4,4.0,,4,4,4.0,4.0,
005.1,32,1411,44.09375,71.49345080540257,1,356,7.5,41.25,162.14
005.12,1,17,17.0,,17,17,17.0,17.0,
005.13,7,343,49.0,46.09772228646444,7,127,18.5,71.0,94.08
005.14,2,46,23.0,15.556349186104045,12,34,17.5,28.5,67.64
005.15,1,3,3.0,,3,3,3.0,3.0,
005.16,3,7,2.3333333333333335,1.5275252316519468,1,4,1.5,3.0,65.47
005.26,1,6,6.0,,6,6,6.0,6.0,
005.3,2,2,1.0,0.0,1,1,1.0,1.0,0.0
005.4,1,10,10.0,,10,10,10.0,10.0,
005.43,6,247,41.166666666666664,46.04961092850478,3,115,5.0,67.25,111.86
005.72,1,11,11.0,,11,11,11.0,11.0,
005.73,4,552,138.0,163.31768632535383,6,350,11.25,224.75,118.35
005.74,4,52,13.0,15.76916823001983,1,36,4.0,16.5,121.3
005.75,1,155,155.0,,155,155,155.0,155.0,
005.8,1,4,4.0,,4,4,4.0,4.0,
006.3,6,257,42.833333333333336,86.96761849485512,1,219,2.25,22.5,203.04
006.32,1,21,21.0,,21,21,21.0,21.0,
006.6,5,127,25.4,29.03101789465881,3,67,5.0,45.0,114.3
006.7,2,37,18.5,9.192388155425117,12,25,15.25,21.75,49.69
109,1,23,23.0,,23,23,23.0,23.0,
128.2,2,19,9.5,6.363961030678928,5,14,7.25,11.75,66.99
150.195,1,3,3.0,,3,3,3.0,3.0,
155.24,1,2,2.0,,2,2,2.0,2.0,
158.2,1,6,6.0,,6,6,6.0,6.0,
17.490.904,2,220,110.0,69.29646455628166,61,159,85.5,134.5,63.0
174.4,1,58,58.0,,58,58,58.0,58.0,
204.35,1,1,1.0,,1,1,1.0,1.0,
3,1,5,5.0,,5,5,5.0,5.0,
3.438.104,1,1,1.0,,1,1,1.0,1.0,
300.722,1,2,2.0,,2,2,2.0,2.0,
307.76,1,1,1.0,,1,1,1.0,1.0,
310,1,11,11.0,,11,11,11.0,11.0,
327.101,1,4,4.0,,4,4,4.0,4.0,
330,2,8,4.0,1.4142135623730951,3,5,3.5,4.5,35.36
